X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE
29830.932765646,37025.4515674207,0,,MRT,BISHAN MRT STATION
13827.2254618806,35638.5820183001,0,,MRT,BOON LAY MRT STATION
18617.2661422868,40068.302717854,0,,LRT,KEAT HONG LRT STATION
20345.6414167548,40964.2500176788,0,,LRT,JELAPANG LRT STATION
18121.3406123164,40751.7382688541,0,,LRT,CHOA CHU KANG LRT STATION
34923.0991498711,41528.4631686378,0,,LRT,SENGKANG LRT STATION
26741.815863956,27566.0914687993,0,,MRT,HARBOURFRONT MRT STATION
21093.4943271553,39787.7988188429,0,,LRT,PENDING LRT STATION
29453.5960185779,30059.0693189399,0,,MRT,CLARKE QUAY MRT STATION
30551.841627811,37079.5605686387,0,,MRT,BISHAN DEPOT
20177.0476435355,39987.7773685368,0,,LRT,BUKIT PANJANG LRT STATION
21047.6245039066,40719.6191190029,0,,LRT,FAJAR LRT STATION
33768.8108570801,38025.2734678982,0,,MRT,KOVAN MRT STATION
31442.5819363303,37075.7755678491,0,,MRT,LORONG CHUAN MRT STATION
28662.2891373378,36752.9474685267,0,,MRT,MARYMOUNT MRT STATION
26691.3698981294,27517.5500675951,0,,MRT,HARBOURFRONT MRT STATION
23252.9602003094,32076.6908171212,0,,MRT,BUONA VISTA MRT STATION
28699.8137723415,35528.6547683002,0,,MRT,CALDECOTT MRT STATION
30622.4763142422,31306.8052686044,0,,MRT,BUGIS MRT STATION
42698.6893286346,35025.8301872964,0,,MRT,BOCC
28538.3625566424,32865.9861685832,0,,MRT,NEWTON MRT STATION
29348.686627601,32582.8856683001,0,,MRT,HALIFAX SUB STATION CABLE TROUGH
29221.9176643602,29684.7673179378,0,,MRT,CHINATOWN MRT STATION
30167.356080238,29105.2445177304,0,,MRT,DOWNTOWN MRT STATION
32287.1067650416,33750.2350188289,0,,MRT,GEYLANG BAHRU MRT STATION
31298.1810050849,32886.1297190123,0,,MRT,BENDEMEER MRT STATION
29859.2075037601,31211.4672693265,0,,MRT,BENCOOLEN MRT STATION
29215.3951777281,30530.0967692405,0,,MRT,FORT CANNING MRT STATION
36371.3465092805,35241.7369192848,0,,MRT,KAKI BUKIT MRT STATION
40198.1605403968,37458.300316887,0,,MRT,TAMPINES MRT STATION
