X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
23978.936168617,34778.687218134,0,,MRT,SIXTH AVENUE MRT STATION,1.33085764536226,103.796906838288
18203.7303038443,40252.0312682998,0,,LRT,SOUTH VIEW LRT STATION,1.38029828742399,103.745291799824
35112.9531980615,43006.5541183008,0,,LRT,SOO TECK LRT STATION,1.40532331860455,103.897290522033
28595.5018870044,31417.2294687887,0,,MRT,SOMERSET MRT STATION,1.30018113242454,103.839311084296
41358.4398206545,36153.1953176664,0,,MRT,SIMEI MRT STATION,1.34317949620659,103.953309510101
32509.6861984848,36866.261717763,0,,MRT,SERANGOON MRT STATION,1.35063361526525,103.872771660431
32421.7993577711,36904.274718156,0,,MRT,SERANGOON MRT STATION,1.35063361526525,103.872771660431
34910.5154306281,41493.2987682989,0,,MRT,SENGKANG MRT STATION,1.39174613283898,103.895508171163
29499.1921504741,35829.5859172695,0,,MRT,BRADDELL MRT STATION,1.34010520696434,103.846755921048
29171.2881265699,33635.1464684648,0,,MRT,NOVENA MRT STATION,1.32021100706836,103.843656761867
30319.7540647982,32753.3789188907,0,,MRT,FARRER PARK MRT STATION,1.31314029963164,103.854754721344
38776.6168183416,34026.6679680731,0,,MRT,BEDOK MRT STATION,1.32397996868158,103.929984495066
26174.3859917113,30218.6718674695,0,,MRT,REDHILL MRT STATION,1.28934817825579,103.817043991803
45285.7611404619,37703.3066191517,0,,MRT,CHANGI AIRPORT MRT STATION,1.35747897447692,103.98788356959
36818.9254870314,41758.9506683005,0,,LRT,CORAL EDGE LRT STATION,1.39390922863313,103.912580845515
20422.7227663454,33040.3125183006,0,,MRT,CLEMENTI MRT STATION,1.31511625277378,103.765191452888
18676.2495621636,36788.6269185029,0,,MRT,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309
36826.5072015957,42690.4836683001,0,,LRT,OASIS LRT STATION,1.40228667971123,103.912727352412
35453.9563530813,43730.3436682993,0,,LRT,NIBONG LRT STATION,1.41185447744238,103.900339452055
36421.336485092,42082.4734683007,0,,LRT,MERIDIAN LRT STATION,1.3969120498774,103.908950224489
18941.105134229,37861.2148683787,0,,MRT,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733
35786.1482770151,33556.5332182968,0,,MRT,EUNOS MRT STATION,1.31976065808207,103.903047958324
16821.8841155187,36026.8808682989,0,,MRT,CHINESE GARDEN MRT STATION,1.34235282081401,103.732596738363
37245.2744870668,42390.6041683006,0,,LRT,KADALOOR LRT STATION,1.39950910636258,103.916574974234
34742.7885343104,42015.7109683007,0,,LRT,CHENG LIM LRT STATION,1.39627763344324,103.893797181731
35958.4787362017,43493.766417815,0,,LRT,SAM KEE LRT STATION,1.40961268528804,103.904831550608
20111.5615655595,45244.9335685103,0,,MRT,KRANJI MRT STATION,1.4250690629411,103.762099449562
29810.7297378631,39110.9228188503,0,,MRT,ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
37226.2554581165,41837.4971183007,0,,LRT,RIVIERA LRT STATION,1.39451978540251,103.916169381157
19852.3936606116,40258.0680683007,0,,LRT,BUKIT PANJANG LRT DEPOT,1.37792694616982,103.763102931112
