X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
21596.1131852339,35920.5603680936,0,,MRT,BEAUTY WORLD MRT STATION,1.341126629602862,103.77577583729857
20861.8774227886,37391.4121676331,0,,MRT,HUME MRT STATION,1.35442831696766,103.7691779456986
20015.1018783492,40117.5857188323,0,,MRT,BUKIT PANJANG MRT STATION,1.3790826234325482,103.76156839347722
20356.7604987319,39043.6140688384,0,,MRT,CASHEW MRT STATION,1.369370105912274,103.7646387235602
10746.7419800218,34438.8491872215,0,,MRT,JOO KOON MRT STATION,1.3277223477083135,103.67828877087258
18434.6167707397,42157.591818219,0,,MRT,YEW TEE MRT STATION,1.397531212763843,103.74736591526832
28183.1708649672,45704.0039182941,0,,MRT,YISHUN MRT STATION,1.429605267805162,103.83496453921694
29277.6577297291,40416.798818146,0,,MRT,YIO CHU KANG MRT STATION,1.3817896604083115,103.84479928952084
32173.0245805814,35702.9511683006,0,,MRT,WOODLEIGH MRT STATION,1.3391590418614376,103.8708156669667
22751.8434177193,46505.0699683016,0,,MRT,WOODLANDS MRT STATION,1.4368493296265799,103.78615886180755
42244.9498582375,36001.065218104,0,,MRT,UPPER CHANGI MRT STATION,1.3418519988908126,103.96131790006658
29674.1274909388,29415.1003194087,0,,MRT,TELOK AYER MRT STATION,1.2822941808412194,103.84836126417217
33855.7816297353,41251.6093683011,0,,LRT,TONGKANG LRT STATION,1.3893388264615807,103.88593731806259
35332.4933303438,34686.1344684788,0,,MRT,UBI MRT STATION,1.3299627159110763,103.8992051032609
29575.9244271167,34979.8847675937,0,,MRT,TOA PAYOH MRT STATION,1.3326201332320744,103.84747915325373
27339.8354372226,29839.0625191721,0,,MRT,TIONG BAHRU MRT STATION,1.2861283836495923,103.82738673575447
32711.5183860407,42147.0351183005,0,,LRT,THANGGAM LRT STATION,1.3974369411744607,103.87565537202401
31091.5035755449,30601.0904687894,0,,MRT,PROMENADE MRT STATION,1.2930197509780528,103.8610970533144
29938.6394823199,31016.9652183688,0,,MRT,BRAS BASAH MRT STATION,1.2967808685507534,103.850738105339
31385.7332037098,31350.8889190512,0,,MRT,NICOLL HIGHWAY MRT STATION,1.299800633004663,103.86374091227837
31987.5789576683,34857.140618341,0,,MRT,POTONG PASIR MRT STATION,1.3315098577030724,103.86914921814066
15494.6095054167,36265.6426192379,0,,MRT,LAKESIDE MRT STATION,1.3442455096241992,103.7209500994246
