X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,Latitude,Longitude
42313.5262137298,39652.4694183003,78121,B07,BET BLKS 232 / 233,1.3748738813499293,103.96193584400925
27743.5372137297,48542.4080183003,58201,B02,AFT QUEEN'S AVE,1.4552747641646449,103.83101399550277
12569.5191137297,39335.9958183002,31059,B01,AFT CEMY OFFICE,1.3720112486996776,103.69466486141303
12868.9500137297,40287.8128183,31081,B11,OPP HQ 5TH SIB CAMP I,1.3806192722550459,103.69735496585587
34876.9012137298,41176.5305183008,67341,B03,OPP BLK 204 CP,1.3886596171640784,103.89511284850104
29336.1319137299,39130.6628182996,54031,B03,OPP AL-MUTTAQIN MQUE,1.370158303986924,103.84532466573268
16199.4783137292,36880.1546183005,28501,B01,BLK 490,1.3498032132114284,103.72728352323549
33578.5391137293,33068.5050183013,81011,NIL,AFT ALJUNIED STN,1.315333825449081,103.88344456192121
17719.3091137297,40582.6234183013,44499,B04,BLK 429A CP,1.3832875365647603,103.74093885971423
21460.58091373,43598.7813183013,48011,B22,OPP MANDAI CAMP 2,1.4105656482722846,103.77455630003733
18153.1492137294,34435.997518301,28221,B07,OPP INTL BUSINESS PK,1.327699856723998,103.7448392532198
35500.5373137295,39943.4096183013,62251,B03,Bef Blk 471B,1.3775075670745864,103.90071638358597
25077.4176137298,30592.4463183004,11131,B11,QUEENS CONDO,1.292941592267988,103.80705793461793
33677.2711137291,41382.655418301,67321,B01A,BLK 311A,1.3905239948533525,103.88433328849119
26486.6277137296,31649.9569183011,13041,B04,AFT ROCHALIE DR,1.3025054459208227,103.81972023470674
11663.5176137295,33921.2289183009,23029,B21,STAMFORD TYRE,1.3230416946568524,103.68652675028943
16339.5635137297,37346.8810182996,28141,B07,AFT TRACK 22,1.3540241685235315,103.72854209383884
30011.8609137293,44971.8022183012,59789,B10A,BEF YISHUN AVE 6,1.4229834297338102,103.85139697017202
32687.8165137293,31547.8782183006,80199,B02,STADIUM STN,1.3015819653641343,103.87544074316412
28684.9544137297,44187.7191183008,59441,B01,NAVAL BASE PR SCH,1.4158925281793677,103.83947349537638
28768.0088137295,32709.2622183003,40031,B07,NEWTON FC,1.3120854571121408,103.84021951700069
24248.6947137294,47483.8545182999,46791,B03,BLK 722,1.4457013402018188,103.79960937315647
29534.2721137293,36566.9089183006,53211,B02,OPP RAFFLES INSTN,1.3469726181683104,103.84710496376002
28733.9225137299,45996.1004183013,59179,B01,BLK 241,1.432246873931236,103.83991356313135
31295.5931137297,28191.1706183013,3419,B02,MARINA STH PIER STN,1.2712252630802465,103.86293063414033
28810.0739137297,40588.3771183006,55159,B06,OPP ANG MO KIO CMTY HOSP,1.3833413697682588,103.84059770378188
31523.3915137295,31721.8669183012,1429,B12,GOLDEN MILE CPLX,1.3031556116092455,103.86497787569506
22371.8444137294,46510.8491182998,46299,B08,OPP BLK 106,1.4369015206267737,103.78274420628996
18956.4148137299,36326.4789183009,43591,B05,OPP BT VIEW SEC SCH,1.3447969321676752,103.75205646579487
27465.4660137296,39859.6267183013,56039,B24,AFT YIO CHU KANG RD,1.3767508182646164,103.82851540097757
36127.64011373,33338.0691183005,83029,B06,AFT KG EUNOS,1.3177710973734647,103.90634957829407
20758.4377137292,35733.8209183011,42229,B05,AFT TOH TUCK TERR,1.3394376356284063,103.7682488713347
28127.33311373,34233.2467183005,51099,B03,CATHOLIC JC,1.3258678437124376,103.83446273617633
32252.0774137294,32763.8187183011,80101,B01,KALLANG STN / OPP BLK 2C,1.3125785629135358,103.87152559586875
33165.7632137295,32206.8939183,80149,B05,S.A. DEAF,1.30754179338017,103.87973541997125
19842.6315137297,32442.3009182997,17079,B12,BLK 512,1.3096700838554434,103.76002069162288
30020.7797137294,35127.0015182998,52269,B04,BLK 73,1.333950578556931,103.85147643977083
15303.7935137292,35610.9785182998,21611,B11,BLK 367,1.338324891699681,103.71923577907052
