X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,latitude,longitude
21465.5104137296,45974.1240183003,46529,B05,OPP MARSILING STN,,
44529.7299137292,36038.3846183009,95151,B01,AIRPORT POLICE STN,,
34541.0427137297,34361.0870182998,71169,B01,AZTECH BLDG,,
14028.5934137292,37148.0698183011,27471,B02,CORPORATION PR SCH,,
18483.51181373,38574.9236182999,43831,B02A,BLK 334,,
42422.6075137295,36560.4573183004,96061,B13,OPP MERA TERR P/G,,
28104.3505137293,31609.2582182996,9011,B01,OPP NGEE ANN CITY,,
39716.1054137293,40516.2934183013,77259,B20,OPP BLK 713,,
21890.8526137294,46852.7767182998,46189,B03,BLK 12,,
33199.6369137298,41543.5668183006,67479,B01,LAYAR STN EXIT A / BLK 417A,,
41067.6330137299,34619.6856183,85101,B01,AFT BEDOK RD,,
32846.6458137296,40205.3582183011,64129,B20,BLK 988B,,
25683.6372137293,30086.0898183007,10419,B02,BLK 52,,
42075.2270137295,39495.9224183001,78231,B01,OPP BLK 482,,
33458.7718137298,39187.2079183012,63389,B14,OPP XINMIN PR SCH,,
32335.99701373,31063.584118301,90021,B06,PEBBLE BAY,,
6161.74471372925,34585.746418301,25391,B10,BEF PIONEER RD,,
26829.8838137295,47591.0372183006,58101,B01,BLK 311,,
17970.32981373,46673.4775182996,49149,B07,AFT KRANJI LK,,
18073.7534137294,35858.8208183013,28631,B05,OPP BLK 288D,,
34291.9236137299,36994.5414183009,63109,B09,BLK 172,,
12509.8019137299,36594.0650183,27409,B02,BLK 821,,
25584.1469137296,30062.3675183002,10401,B03,SHRIRO HSE,,
35061.4412137298,31791.6678183004,92169,B01,BEF KATONG PO,,
18573.6092137294,46368.432818301,49169,B03,AFT SG KADUT DR,,
22762.9947137292,45958.6040183008,46349,B02,AFT BLK 353,,
19648.7573137293,36253.9446182996,43611,B06,BLK 290H,,
17918.7292137295,35318.2192183007,28061,B09,J GATEWAY,,
27139.0113137299,47573.0161183011,58039,UNK,BEF CANBERRA DR,,
27089.6929137297,47570.8994183,58031,UNK,OPP CANBERRA DR,,
25708.1980137294,29305.1198183,14199,B02,BLK 118,,
13455.1121137291,35897.2469183002,22259,B04,BLK 668D,,
33165.5998137295,40489.5910183005,66581,NIL,BLK 986B,,
43795.2785137296,38572.4144183006,97069,B10,LLOYD LEAS WORK REL CAMP,,
40598.6880137296,39737.7819183003,77131,B01,BLK 502,,
42313.5262137298,39652.4694183003,78121,B07,BET BLKS 232 / 233,,
27743.5372137297,48542.4080183003,58201,B02,AFT QUEEN'S AVE,,
12569.5191137297,39335.9958183002,31059,B01,AFT CEMY OFFICE,,
12868.9500137297,40287.8128183,31081,B11,OPP HQ 5TH SIB CAMP I,,
34876.9012137298,41176.5305183008,67341,B03,OPP BLK 204 CP,,
29336.1319137299,39130.6628182996,54031,B03,OPP AL-MUTTAQIN MQUE,,
16199.4783137292,36880.1546183005,28501,B01,BLK 490,,
33578.5391137293,33068.5050183013,81011,NIL,AFT ALJUNIED STN,,
17719.3091137297,40582.6234183013,44499,B04,BLK 429A CP,,
21460.58091373,43598.7813183013,48011,B22,OPP MANDAI CAMP 2,,
18153.1492137294,34435.997518301,28221,B07,OPP INTL BUSINESS PK,,
35500.5373137295,39943.4096183013,62251,B03,Bef Blk 471B,,
25077.4176137298,30592.4463183004,11131,B11,QUEENS CONDO,,
33677.2711137291,41382.655418301,67321,B01A,BLK 311A,,
26486.6277137296,31649.9569183011,13041,B04,AFT ROCHALIE DR,,
11663.5176137295,33921.2289183009,23029,B21,STAMFORD TYRE,,
16339.5635137297,37346.8810182996,28141,B07,AFT TRACK 22,,
30011.8609137293,44971.8022183012,59789,B10A,BEF YISHUN AVE 6,,
32687.8165137293,31547.8782183006,80199,B02,STADIUM STN,,
28684.9544137297,44187.7191183008,59441,B01,NAVAL BASE PR SCH,,
28768.0088137295,32709.2622183003,40031,B07,NEWTON FC,,
24248.6947137294,47483.8545182999,46791,B03,BLK 722,,
29534.2721137293,36566.9089183006,53211,B02,OPP RAFFLES INSTN,,
28733.9225137299,45996.1004183013,59179,B01,BLK 241,,
31295.5931137297,28191.1706183013,3419,B02,MARINA STH PIER STN,,
28810.0739137297,40588.3771183006,55159,B06,OPP ANG MO KIO CMTY HOSP,,
31523.3915137295,31721.8669183012,1429,B12,GOLDEN MILE CPLX,,
22371.8444137294,46510.8491182998,46299,B08,OPP BLK 106,,
18956.4148137299,36326.4789183009,43591,B05,OPP BT VIEW SEC SCH,,
27465.4660137296,39859.6267183013,56039,B24,AFT YIO CHU KANG RD,,
36127.64011373,33338.0691183005,83029,B06,AFT KG EUNOS,,
20758.4377137292,35733.8209183011,42229,B05,AFT TOH TUCK TERR,,
28127.33311373,34233.2467183005,51099,B03,CATHOLIC JC,,
32252.0774137294,32763.8187183011,80101,B01,KALLANG STN / OPP BLK 2C,,
33165.7632137295,32206.8939183,80149,B05,S.A. DEAF,,
19842.6315137297,32442.3009182997,17079,B12,BLK 512,,
30020.7797137294,35127.0015182998,52269,B04,BLK 73,,
15303.7935137292,35610.9785182998,21611,B11,BLK 367,,
38165.8914137296,34597.6995183006,84369,B03,BLK 45,,
32438.01511373,32754.8398183007,80051,B03,AFT LOR 1 GEYLANG,,
39711.9276137296,40472.974518301,77251,B19,BLK 713,,
23518.70591373,34206.9982182998,11349,B05,OPP GARLICK VILLE,,
14946.09131373,35812.5805182997,21211,B09,OPP LAKEPOINT CONDO,,
16004.1334137293,37162.6560183,28571,B02,BLK 416,,
22299.8665137291,32423.4722183011,19029,B06,OPP SP SMA,,
17454.5320137292,35192.1590183005,28439,B124,BLK 124,,
25408.1915137293,49346.5487182997,47819,B11,OPP W'LANDS SUNNY FOOD,,
19993.0885137292,43713.1744183004,45181,B30,OPP MANDAI CD TRG VILLAGE,,
7577.36561372969,34938.2513183001,25119,B12,BEF TUAS AVE 10,,
23097.8016137294,47362.6934182998,46451,B08,OPP BLK 872,,
29513.56501373,37398.1320182998,53391,B01,OPP BLK 203,,
41783.7191137299,39142.6305183005,78071,B02,BLK 446,,
21544.3542137295,38650.4521182999,44369,NIL,AFT DAIRY FARM RD,,
13580.3621137291,34534.4698182996,22281,B01,AFT SOON LEE RD,,
39255.6574137295,37269.3709183,75169,B04,OPP BLK 853,,
32623.60721373,34273.5204183012,70349,B01,BEF LOR BAKAR BATU,,
27362.2981137298,40115.0082182996,56041,B25,OPP MEADOWS /@ PEIRCE,,
27306.9464137293,35939.2408183012,40261,B03,LP 52,,
35030.2370137293,31256.6943183001,91121,NIL,HSE 189,,
18063.9535137294,39826.1514183003,44091,B06,BEF CHOA CHU KANG MKT,,
39588.5222137291,32974.1246183012,94029,B10,AFT SENNET RD,,
42584.7358137295,40140.7480183002,78279,NIL,OPP LOYANG TOWNHOUSE,,
35981.6057137297,31675.4161182996,92041,B01,OPP PARKWAY PARADE,,
30732.2840137295,30625.3888183013,2151,B04,SUNTEC CONVENTION CTR,,
